chef_index,name,arrondissement,commune,lat,lng,support_count,contradiction_count,external_support_count,weighted_support,weighted_contradiction,weighted_external_support,total_evidence,confidence_score,over_expansion_score,under_claim_score,boundary_shift_score
90,Avotrou-Gbègo,1er Arrondissement,COTONOU,6.376987570849822,2.468061872023426,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
91,Kpaviédja,Kpanroun,ABOMEY-CALAVI,6.671214393633209,2.339957899242292,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
92,Gankpodo,2ème Arrondissement,COTONOU,6.391840150078056,2.453548558527831,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
93,Zinvié-Fandji,Zinvié,ABOMEY-CALAVI,6.613795608366468,2.356809297572599,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
94,"Fignonhou
",Godomey,ABOMEY-CALAVI,6.376257195705525,2.337084069255347,0,0,1,0.0,0.0,0.85,1,0.283,0.0,0.459,0.0
95,Gbodjè,Zinvié,ABOMEY-CALAVI,6.594872421593815,2.386426603165992,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
96,Adovié,Hêvié,ABOMEY-CALAVI,6.424668003694718,2.259279273465978,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
97,Gbènan,7ème Arrondissement,COTONOU,6.366379592757044,2.423210730925661,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
98,Gbèdomidji,7ème Arrondissement,COTONOU,6.36378721166743,2.422413041478412,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
99,Domey-Gbo,Golo-Djigbé,ABOMEY-CALAVI,6.537863873104675,2.324585126294177,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
100,Adjaha-Cité,13ème Arrondissement,COTONOU,6.361019990897453,2.374064246818966,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
101,Fidjrossè-Kpota,12ème Arrondissement,COTONOU,6.358109760230045,2.36039988279798,0,1,0,0.0,0.85,0.0,1,0.283,0.459,0.0,0.0
102,Cadjèhoun-Aupiais,12ème Arrondissement,COTONOU,6.356653787616432,2.404293531244689,3,0,0,1.8,0.0,0.0,3,0.632,0.0,0.0,0.0
103,"Aïmèvo
",Godomey,ABOMEY-CALAVI,6.389164817034996,2.342289242130796,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
104,Aïdjèdo,6ème Arrondissement,COTONOU,6.379547849397231,2.424858246359997,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
105,Missité,13ème Arrondissement,COTONOU,6.366179034611105,2.388788719919658,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
106,Avotrou-Aïmonlonfidé,1er Arrondissement,COTONOU,6.382264395832571,2.472211212000099,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
107,Cadjèhoun-Gare,12ème Arrondissement,COTONOU,6.361853391924255,2.404149994218516,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
108,Adôgléta,3ème Arrondissement,COTONOU,6.385717599378378,2.440328254490017,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
109,Ahouansouri-Agata,6ème Arrondissement,COTONOU,6.382916483331917,2.42433571986854,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
110,Kansounkpa,Abomey-Calavi,ABOMEY-CALAVI,6.507109056133443,2.31506106908709,1,2,0,0.85,1.7,0.0,3,0.632,0.479,0.0,0.0
111,Agla-Akplomey,13ème Arrondissement,COTONOU,6.384276044890476,2.35645028782525,0,0,1,0.0,0.0,0.6,1,0.283,0.0,0.375,0.0
112,Irédé,2ème Arrondissement,COTONOU,6.372437269506234,2.45705484311077,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
113,"Womey-Centre
",Godomey,ABOMEY-CALAVI,6.405839478370337,2.305493645637789,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
114,Dédokpo,4ème Arrondissement,COTONOU,6.367694222429447,2.442307661466128,0,0,1,0.0,0.0,0.85,1,0.283,0.0,0.459,0.0
115,"Sodo
",Godomey,ABOMEY-CALAVI,6.40340131281441,2.294956289943732,0,1,0,0.0,0.85,0.0,1,0.283,0.459,0.0,0.0
116,Kpankpan,3ème Arrondissement,COTONOU,6.37717477958463,2.439282012136696,0,1,0,0.0,0.85,0.0,1,0.283,0.459,0.0,0.0
117,Tanto,1er Arrondissement,COTONOU,6.367756095057556,2.472004316594913,1,0,0,0.85,0.0,0.0,1,0.283,0.0,0.0,0.0
118,Vodjè-Allobatin,11ème Arrondissement,COTONOU,6.369169355073549,2.406858418732843,0,0,1,0.0,0.0,0.6,1,0.283,0.0,0.375,0.0
119,Ahouanlèko,12ème Arrondissement,COTONOU,6.353325686444661,2.407532099820587,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
120,Zèkanmey,Golo-Djigbé,ABOMEY-CALAVI,6.551810220355878,2.304305311789565,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
121,Sènadé,2ème Arrondissement,COTONOU,6.379688558523469,2.457250665167441,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
122,Agontinkon,8ème Arrondissement,COTONOU,6.377384298417058,2.407534246817678,0,0,1,0.0,0.0,0.85,1,0.283,0.0,0.459,0.0
123,Yénawa-Daho,2ème Arrondissement,COTONOU,6.388403664721264,2.472148906799447,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
124,Avotrou-Houézèkomè,1er Arrondissement,COTONOU,6.376949160761281,2.475942714536939,0,1,0,0.0,0.6,0.0,1,0.283,0.375,0.0,0.0
125,Ahogbohoué-Cité-De-l'Expérience,13ème Arrondissement,COTONOU,6.378693091527042,2.373728793044497,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
126,Atrokpo-Codji,Godomey,ABOMEY-CALAVI,6.387999933976394,2.321813583150896,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
127,Gbodjoko,Zinvié,ABOMEY-CALAVI,6.585160476042517,2.322809624994197,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
128,Aïdjèdo-Ahito,6ème Arrondissement,COTONOU,6.377219054207516,2.42190006434286,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
129,Ahouato,Ouèdo,ABOMEY-CALAVI,6.42038238877856,2.274507813551664,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
130,Xwlacôdji-Plage,5ème Arrondissement,COTONOU,6.352468634302518,2.440702402008151,0,0,3,0.0,0.0,1.8,3,0.632,0.0,0.643,0.0
131,Gbégamey-Dodo-Ayidjè,11ème Arrondissement,COTONOU,6.367585958768227,2.409716881879183,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
132,Hlacômey,3ème Arrondissement,COTONOU,6.38868418666766,2.440823900978928,0,2,1,0.0,1.7,0.85,3,0.632,0.63,0.459,0.538
133,Anagbo,Kpanroun,ABOMEY-CALAVI,6.68715770413999,2.338777358968258,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
134,Zongo-Nima,5ème Arrondissement,COTONOU,6.356250877695007,2.427883345156602,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
135,Misséssinto,Akassato,ABOMEY-CALAVI,6.515327454173367,2.363088585898427,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
136,"Cité-les-Palmiers
",Abomey-Calavi,ABOMEY-CALAVI,6.479119226062662,2.337515666765913,0,2,1,0.0,1.7,0.6,3,0.632,0.63,0.375,0.486
137,Agbatô,3ème Arrondissement,COTONOU,6.393526932430639,2.441545517708419,0,0,2,0.0,0.0,1.7,2,0.487,0.0,0.63,0.0
138,Kpé,Kpanroun,ABOMEY-CALAVI,6.653408013068795,2.356155892097402,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
139,Zongo-Ehuzu,5ème Arrondissement,COTONOU,6.352603545600073,2.424036711748659,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
140,Ahouansori-Towéta,6ème Arrondissement,COTONOU,6.387585271283132,2.427552872717358,0,1,0,0.0,0.6,0.0,1,0.283,0.375,0.0,0.0
141,Agongbé,Golo-Djigbé,ABOMEY-CALAVI,6.531935855343063,2.308475621325271,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
142,Tokplégbé,1er Arrondissement,COTONOU,6.364730087893121,2.48957796820289,0,0,2,0.0,0.0,1.7,2,0.487,0.0,0.63,0.0
143,"Hounzévié
",Hêvié,ABOMEY-CALAVI,6.423286918650279,2.237041714678024,0,0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
