quartier_A,quartier_B,corridor_edges,total_length_m,A_share_m,B_share_m
Agbodjèdo,Hlacômey,3,216.5,108.3,108.3
"Dessato
",Ouèdo,4,213.2,106.6,106.6
Gankpodo,Yénawa,1,212.9,106.4,106.4
Gbégamey-Centre,Gbégamey-Mifongou,4,212.8,106.4,106.4
Cocotomey,"Sodo
",4,212.5,106.2,106.2
Godomey-Togoudo,"Nonhouénou
",4,207.2,103.6,103.6
Kouhounou,Zogbohouè,2,198.7,99.3,99.3
Hindé-Nord,Hindé-Sud,1,195.1,97.5,97.5
Gbédokpo,Sèdjro-Saint-Michel,3,191.2,95.6,95.6
Agla-Agongbomey,Hlazounto,3,184.9,92.4,92.4
Gbégamey-Dodo-Ayidjè,Vodjè-Allobatin,1,184.5,92.2,92.2
Gbèdagba,Minonkpô-Wologuèdè,1,182.2,91.1,91.1
Cadjèhoun-Détinsa,Cadjèhoun-Kpota,1,182.1,91.0,91.0
Adjaha-Cité,Fidjrossè-Kpota,2,178.9,89.5,89.5
"Plateau
",Yolomahouto,4,177.5,88.8,88.8
Agori,"Tokpa-Zoungo-Sud
",2,177.3,88.6,88.6
Houénoussou,Houéyihô,3,173.0,86.5,86.5
Dandji,Tanto,2,167.9,84.0,84.0
Gbégamey-Dodo-Ayidjè,Gbégamey-Mifongou,2,160.5,80.3,80.3
Gbèdjèwin,Misséssin,1,155.7,77.9,77.9
Yèvié-Nougo,Zinvié-Fandji,2,151.4,75.7,75.7
Kouhounou,Sètôvi,2,143.5,71.8,71.8
Agontinkon,Houénoussou-Sainte-Rita,2,143.1,71.5,71.5
Dandji,Yagbé,2,142.9,71.4,71.4
Gbégamey-Ahito,Gbégamey-Dodo-Ayidjè,2,142.8,71.4,71.4
Ahouassa,Suru-Léré,1,141.0,70.5,70.5
Guinkômey,Missité,2,135.8,67.9,67.9
Vodjè-Ayidoté,Vodjè-Centre,2,131.2,65.6,65.6
Cadjèhoun-Gare,Cadjèhoun-Kpota,2,131.0,65.5,65.5
Adôgléta,Hlacômey,2,123.7,61.9,61.9
Cocotomey,Logbozounkpa,2,120.3,60.2,60.2
Donaten,Fifadji-Houto (Jak),2,118.5,59.3,59.3
Suru-Léré,Sènadé,1,115.8,57.9,57.9
Agamandin,Zopah-Kokpo,1,113.4,56.7,56.7
Ahouanlèko,Cadjèhoun-Azalokogon,1,112.7,56.3,56.3
Cadjèhoun-Détinsa,Gbégamey-Mifongou,1,109.6,54.8,54.8
Godomey-Togoudo,Salamey,1,105.2,52.6,52.6
Avotrou-Houézèkomè,Dandji,2,105.0,52.5,52.5
Djidjè,Hindé-Nord,1,100.5,50.2,50.2
Ahogbohoué-Cité-Eucharistie,Cadjèhoun-Azalokogon,1,96.5,48.3,48.3
Gbégamey-Gbagoudo,Énagnon-Sikê,1,94.7,47.4,47.4
Fifadji,Missèkplé,1,89.6,44.8,44.8
Irédé,Sènadé-Sèkon,2,87.6,43.8,43.8
"Sodo
",Womey-Yénawa,2,86.4,43.2,43.2
Agontinkon,Minonkpô-Wologuèdè,1,85.5,42.7,42.7
Gbèdjromèdè-Nord,Vossa,2,81.8,40.9,40.9
Adjaha-Cité,Fidjrossè-Centre,2,77.7,38.9,38.9
Cadjèhoun-Aupiais,Cadjèhoun-Azalokogon,1,75.4,37.7,37.7
Abokicodji-Centre,Misséssin,1,74.9,37.5,37.5
Dota,Gbéto,1,73.3,36.7,36.7
Ayélawadjè,Ayélawadjè-Agongbomè,1,72.6,36.3,36.3
Missèbô,Nouveau-Pont,1,72.6,36.3,36.3
Irédé,Sodjatinmè-Est,1,70.7,35.4,35.4
Bocossi-Tokpa,Dantôkpa,1,69.8,34.9,34.9
Zongo-Ehuzu,Zongo-Nima,3,69.5,34.7,34.7
Agontinkon,Gbégamey-Gbagoudo,1,68.2,34.1,34.1
Agla-Agongbomey,Agla-Les-Pylônes,1,67.3,33.7,33.7
Ayélawadjè-Agongbomè,Sègbèya-Sud,1,66.4,33.2,33.2
Aïdjèdo-Ahito,Jéricho-Nord,1,66.3,33.1,33.1
Gbégamey-Ahito,Gbégamey-Mifongou,1,62.5,31.3,31.3
Adôgléta,Kpankpan,1,61.6,30.8,30.8
"Tchinangbégbo
",Zogbadjè,1,52.1,26.1,26.1
Adjaha-Cité,Aïbatin-Dodo,1,52.1,26.1,26.1
Adôgléta,Sègbèya-Sud,1,45.1,22.6,22.6
Sokan,Zinvié-Fandji,2,42.5,21.3,21.3
Abokicodji-Lagune,Ohé,1,37.5,18.8,18.8
Cadjèhoun-Détinsa,Vodjè-Centre,1,35.0,17.5,17.5
Fignon-Sikê,Sèdami,1,34.2,17.1,17.1
Adovié,Akossavié,1,28.8,14.4,14.4
Ahouansori-Towéta-Kpota,Ladji,1,28.1,14.1,14.1
Godomey-Togoudo,Sèdomey,1,21.4,10.7,10.7
Adjagbo,Misséssinto,1,20.8,10.4,10.4
Guinkômey,Tokpa-Hoho,1,20.1,10.1,10.1
Cadjèhoun-Azalokogon,Houéyihô,1,19.9,9.9,9.9
Xwlacôdji-Kpodji,Xwlacôdji-Plage,1,15.9,8.0,8.0
Ahouansori-Towéta,Ahouansori-Towéta-Kpota,1,10.8,5.4,5.4
Jéricho-Sud,Sèdami,1,2.5,1.3,1.3
