name,commune,arrondissement,code_geo,ign_lat,ign_lng,name_too_short,n_matches,n_clusters,cluster_lat,cluster_lng,distance_m,dispersion_m,confidence,severity,primary_cluster_size,sample_poi_names
Xwlacôdji-Kpodji,COTONOU,5ème Arrondissement,X437801Y702320,6.353551,2.437618,False,0,0,,,,,none,no_data,0,
Gbodjètin,COTONOU,12ème Arrondissement,X428168Y704676,6.374758,2.350493,False,0,0,,,,,none,no_data,0,
Houénoussou-Sainte-Rita,COTONOU,8ème Arrondissement,X434047Y705136,6.378984,2.403643,False,0,0,,,,,none,no_data,0,
Missèkplé,COTONOU,10ème Arrondissement,X434165Y705934,6.386201,2.404705,False,0,0,,,,,none,no_data,0,
Sètôvi,COTONOU,10ème Arrondissement,X432360Y705404,6.381389,2.388391,False,2,2,6.382962,2.385469,367.0,0.0,low,suspicious,1,Ecole primaire publique de Sètovi
Kpondéhou,COTONOU,2ème Arrondissement,X439562Y705884,6.385806,2.4535,False,1,1,6.383964,2.456728,411.0,0.0,low,suspicious,1,Lycée Technique de Kpondehoun
Sokan,ABOMEY-CALAVI,Zinvié,X428335Y729831,6.602299,2.35171,False,0,0,,,,,none,no_data,0,
"Aïtchédji
",ABOMEY-CALAVI,Abomey-Calavi,X426773Y713335,6.453064,2.337776,False,3,3,6.456742,2.335789,464.0,0.0,low,suspicious,1,École primaire publique Aitchedji Makins
Cadjèhoun-Détinsa,COTONOU,12ème Arrondissement,X434126Y703829,6.367157,2.404373,False,0,0,,,,,none,no_data,0,
Ahouansouri-Agué,COTONOU,6ème Arrondissement,X435985Y706149,6.388161,2.421157,False,0,0,,,,,none,no_data,0,
"Gbodjè-Womey
",ABOMEY-CALAVI,Godomey,X420821Y706034,6.386949,2.284048,False,0,0,,,,,none,no_data,0,
Houèto,ABOMEY-CALAVI,Togba,X423002Y711955,6.440538,2.303695,False,7,4,6.438125,2.309433,688.0,121.0,medium,suspicious,3,Pharmacie principale de Houeto | Union Renaissance d'Homme en Christde Ho | EPMB Cité de Lumière de Houêto
"Finafa
",ABOMEY-CALAVI,Abomey-Calavi,X427802Y712068,6.44162,2.347095,False,0,0,,,,,none,no_data,0,
Vossa-Kpodji,COTONOU,9ème Arrondissement,X434244Y706954,6.395427,2.405403,False,0,0,,,,,none,no_data,0,
Alègléta,ABOMEY-CALAVI,Godomey,X424765Y709425,6.417671,2.319668,False,0,0,,,,,none,no_data,0,
Yèmicodji,COTONOU,12ème Arrondissement,X426267Y703126,6.360712,2.333323,False,0,0,,,,,none,no_data,0,
Dangbodji,ABOMEY-CALAVI,Zinvié,X424785Y731490,6.617268,2.319582,False,0,0,,,,,none,no_data,0,
Vodjè-Ayidoté,COTONOU,11ème Arrondissement,X433995Y704578,6.37393,2.403177,False,0,0,,,,,none,no_data,0,
Godomey-Togoudo,ABOMEY-CALAVI,Godomey,X427158Y707626,6.401429,2.341327,False,0,0,,,,,none,no_data,0,
Yèvié,ABOMEY-CALAVI,Zinvié,X430900Y729271,6.597264,2.374925,False,0,0,,,,,none,no_data,0,
Wawata,ABOMEY-CALAVI,Zinvié,X425159Y732382,6.62534,2.322947,False,0,0,,,,,none,no_data,0,
Agonmé,ABOMEY-CALAVI,Akassato,X426851Y724152,6.550911,2.338356,False,0,0,,,,,none,no_data,0,
Kolètin,ABOMEY-CALAVI,Akassato,X428518Y726361,6.570911,2.353408,False,0,0,,,,,none,no_data,0,
Togbin-Daho,ABOMEY-CALAVI,Godomey,X423377Y702482,6.354858,2.307201,False,0,0,,,,,none,no_data,0,
Kpotomey,ABOMEY-CALAVI,Zinvié,X428883Y732890,6.629979,2.35663,False,0,0,,,,,none,no_data,0,
"Tokpa-Zoungo-Nord
",ABOMEY-CALAVI,Abomey-Calavi,X428263Y711172,6.433522,2.351276,False,0,0,,,,,none,no_data,0,
Sodjatinmè-Centre,COTONOU,4ème Arrondissement,X439666Y703959,6.368392,2.454466,False,0,0,,,,,none,no_data,0,
Avotrou-Gbègo,COTONOU,1er Arrondissement,X441171Y704908,6.376988,2.468062,False,0,0,,,,,none,no_data,0,
Kpaviédja,ABOMEY-CALAVI,Kpanroun,X427046Y737451,6.671214,2.339958,False,0,0,,,,,none,no_data,0,
Gankpodo,COTONOU,2ème Arrondissement,X439568Y706551,6.39184,2.453549,False,0,0,,,,,none,no_data,0,
Zinvié-Fandji,ABOMEY-CALAVI,Zinvié,X428900Y731101,6.613796,2.356809,False,0,0,,,,,none,no_data,0,
"Fignonhou
",ABOMEY-CALAVI,Godomey,X426685Y704844,6.376257,2.337084,False,1,1,6.374173,2.340776,469.0,0.0,low,suspicious,1,Pharmacie Godomey-Fignonhou
Gbodjè,ABOMEY-CALAVI,Zinvié,X432172Y729005,6.594872,2.386427,False,0,0,,,,,none,no_data,0,
Adovié,ABOMEY-CALAVI,Hêvié,X418088Y710207,6.424668,2.259279,False,0,0,,,,,none,no_data,0,
Gbènan,COTONOU,7ème Arrondissement,X436209Y703740,6.36638,2.423211,False,0,0,,,,,none,no_data,0,
Gbèdomidji,COTONOU,7ème Arrondissement,X436121Y703454,6.363787,2.422413,False,0,0,,,,,none,no_data,0,
Domey-Gbo,ABOMEY-CALAVI,Golo-Djigbé,X425327Y722711,6.537864,2.324585,False,0,0,,,,,none,no_data,0,
Adjaha-Cité,COTONOU,13ème Arrondissement,X430773Y703154,6.36102,2.374064,False,0,0,,,,,none,no_data,0,
Fidjrossè-Kpota,COTONOU,12ème Arrondissement,X429261Y702834,6.35811,2.3604,False,0,0,,,,,none,no_data,0,
Cadjèhoun-Aupiais,COTONOU,12ème Arrondissement,X434116Y702668,6.356654,2.404294,False,0,0,,,,,none,no_data,0,
"Aïmèvo
",ABOMEY-CALAVI,Godomey,X427263Y706270,6.389165,2.342289,False,0,0,,,,,none,no_data,0,
Aïdjèdo,COTONOU,6ème Arrondissement,X436393Y705196,6.379548,2.424858,False,1,1,6.38331,2.425127,419.0,0.0,low,suspicious,1,Pharmacie Aïdjèdo
Missité,COTONOU,13ème Arrondissement,X432402Y703723,6.366179,2.388789,False,0,0,,,,,none,no_data,0,
Avotrou-Aïmonlonfidé,COTONOU,1er Arrondissement,X441631Y705491,6.382264,2.472211,False,0,0,,,,,none,no_data,0,
Cadjèhoun-Gare,COTONOU,12ème Arrondissement,X434101Y703242,6.361853,2.40415,False,0,0,,,,,none,no_data,0,
Adôgléta,COTONOU,3ème Arrondissement,X438105Y705876,6.385718,2.440328,False,0,0,,,,,none,no_data,0,
Ahouansouri-Agata,COTONOU,6ème Arrondissement,X436336Y705568,6.382916,2.424336,False,0,0,,,,,none,no_data,0,
Kansounkpa,ABOMEY-CALAVI,Abomey-Calavi,X424269Y719313,6.507109,2.315061,False,1,1,6.4936,2.321261,1651.0,0.0,low,severe,1,Collège d’Enseignement Général Kansounkp
Agla-Akplomey,COTONOU,13ème Arrondissement,X428828Y705728,6.384276,2.35645,False,1,1,6.376869,2.353114,902.0,0.0,low,severe,1,Eglise catholique saint Charles lwanga A
Irédé,COTONOU,2ème Arrondissement,X439953Y704406,6.372437,2.457055,False,0,0,,,,,none,no_data,0,
"Womey-Centre
",ABOMEY-CALAVI,Godomey,X423196Y708119,6.405839,2.305494,False,6,5,6.403613,2.295819,1097.0,29.0,medium,severe,2,Pharmacie st Benoît de Womey | Complexe Scolaire Womey Enawa
Dédokpo,COTONOU,4ème Arrondissement,X438322Y703883,6.367694,2.442308,False,1,1,6.371543,2.441243,444.0,0.0,low,suspicious,1,PASE DRL2 C??? DEDOKPO
"Sodo
",ABOMEY-CALAVI,Godomey,X422030Y707851,6.403401,2.294956,False,0,0,,,,,none,no_data,0,
Kpankpan,COTONOU,3ème Arrondissement,X437988Y704932,6.377175,2.439282,False,0,0,,,,,none,no_data,0,
Tanto,COTONOU,1er Arrondissement,X441606Y703887,6.367756,2.472004,False,1,1,6.369097,2.472339,154.0,0.0,low,minor,1,Ecole Primaire Public de TANTO
Vodjè-Allobatin,COTONOU,11ème Arrondissement,X434401Y704051,6.369169,2.406858,False,0,0,,,,,none,no_data,0,
Ahouanlèko,COTONOU,12ème Arrondissement,X434474Y702299,6.353326,2.407532,False,0,0,,,,,none,no_data,0,
Zèkanmey,ABOMEY-CALAVI,Golo-Djigbé,X423086Y724256,6.55181,2.304305,False,0,0,,,,,none,no_data,0,
Sènadé,COTONOU,2ème Arrondissement,X439976Y705208,6.379689,2.457251,False,3,2,6.377626,2.462127,586.0,47.0,medium,suspicious,2,Ecole Primaire Publique Sènadé | Mosqué Centrale Senadé
Agontinkon,COTONOU,8ème Arrondissement,X434477Y704959,6.377384,2.407534,False,1,1,6.375706,2.405194,319.0,0.0,low,suspicious,1,Pharmacie Agontinkon
Yénawa-Daho,COTONOU,2ème Arrondissement,X441624Y706169,6.388404,2.472149,False,0,0,,,,,none,no_data,0,
Avotrou-Houézèkomè,COTONOU,1er Arrondissement,X442043Y704903,6.376949,2.475943,False,0,0,,,,,none,no_data,0,
Ahogbohoué-Cité-De-l'Expérience,COTONOU,13ème Arrondissement,X430738Y705108,6.378693,2.373729,False,0,0,,,,,none,no_data,0,
Atrokpo-Codji,ABOMEY-CALAVI,Godomey,X424998Y706144,6.388,2.321814,False,2,2,6.392918,2.320883,556.0,0.0,low,suspicious,1,Compexe Scolaire Le Spiritor d'Atrokpoco
Gbodjoko,ABOMEY-CALAVI,Zinvié,X425137Y727940,6.58516,2.32281,False,0,0,,,,,none,no_data,0,
Aïdjèdo-Ahito,COTONOU,6ème Arrondissement,X436066Y704939,6.377219,2.4219,False,0,0,,,,,none,no_data,0,
Ahouato,ABOMEY-CALAVI,Ouèdo,X419771Y709731,6.420382,2.274508,False,0,0,,,,,none,no_data,0,
Xwlacôdji-Plage,COTONOU,5ème Arrondissement,X438142Y702200,6.352469,2.440702,False,0,0,,,,,none,no_data,0,
Gbégamey-Dodo-Ayidjè,COTONOU,11ème Arrondissement,X434717Y703875,6.367586,2.409717,False,0,0,,,,,none,no_data,0,
Hlacômey,COTONOU,3ème Arrondissement,X438160Y706204,6.388684,2.440824,False,0,0,,,,,none,no_data,0,
Anagbo,ABOMEY-CALAVI,Kpanroun,X426918Y739214,6.687158,2.338777,False,0,0,,,,,none,no_data,0,
Zongo-Nima,COTONOU,5ème Arrondissement,X436725Y702620,6.356251,2.427883,False,0,0,,,,,none,no_data,0,
Misséssinto,ABOMEY-CALAVI,Akassato,X429580Y720214,6.515327,2.363089,False,0,0,,,,,none,no_data,0,
"Cité-les-Palmiers
",ABOMEY-CALAVI,Abomey-Calavi,X426748Y716215,6.479119,2.337516,False,0,0,,,,,none,no_data,0,
Agbatô,COTONOU,3ème Arrondissement,X438240Y706739,6.393527,2.441546,False,2,1,6.390621,2.441632,323.0,18.0,medium,suspicious,2,AGBATO CABZ | Paroisse St. Joseph d'Agbato
Kpé,ABOMEY-CALAVI,Kpanroun,X428834Y735480,6.653408,2.356156,True,0,0,,,,,none,skipped_short_name,0,
Zongo-Ehuzu,COTONOU,5ème Arrondissement,X436299Y702217,6.352604,2.424037,False,0,0,,,,,none,no_data,0,
Ahouansori-Towéta,COTONOU,6ème Arrondissement,X436692Y706084,6.387585,2.427553,False,0,0,,,,,none,no_data,0,
Agongbé,ABOMEY-CALAVI,Golo-Djigbé,X423545Y722058,6.531936,2.308476,False,0,0,,,,,none,no_data,0,
Tokplégbé,COTONOU,1er Arrondissement,X443549Y703550,6.36473,2.489578,False,2,1,6.366871,2.485169,542.0,167.0,medium,suspicious,2,Commissariat de Tokplégbé | Marché Moderne de Tokplègbè
"Hounzévié
",ABOMEY-CALAVI,Hêvié,X415628Y710058,6.423287,2.237042,False,0,0,,,,,none,no_data,0,
Fidjrossè-Centre,COTONOU,12ème Arrondissement,X430391Y702787,6.357693,2.370617,False,5,3,6.356443,2.367041,419.0,145.0,medium,suspicious,3,MCA FIDJROSSE | FIDJROSSE MCA B2 | Eglise de Jesus-Christ des Saints des De
Sodjatinmè-Est,COTONOU,4ème Arrondissement,X440274Y704136,6.370001,2.459957,False,0,0,,,,,none,no_data,0,
Adjagbo,ABOMEY-CALAVI,Ouèdo,X420384Y716215,6.479041,2.279968,False,1,1,6.475142,2.277744,498.0,0.0,low,suspicious,1,Complexe Scolaire de joues Adjagbo A & B
Gbégamey-Ahito,COTONOU,11ème Arrondissement,X434542Y703578,6.364892,2.408136,False,0,0,,,,,none,no_data,0,
Dandji,COTONOU,1er Arrondissement,X442295Y703943,6.36827,2.478233,False,0,0,,,,,none,no_data,0,
Godomey-N'Gbèho,ABOMEY-CALAVI,Godomey,X427083Y704464,6.372827,2.340682,False,0,0,,,,,none,no_data,0,
"Zoundja
",ABOMEY-CALAVI,Abomey-Calavi,X426626Y718237,6.49741,2.336395,False,3,3,6.48622,2.342266,1403.0,0.0,low,severe,1,EPP Zoundja
Abokicodji-Lagune,COTONOU,4ème Arrondissement,X438325Y703537,6.364563,2.442343,False,0,0,,,,,none,no_data,0,
Mèdédjro,COTONOU,8ème Arrondissement,X434773Y705797,6.384965,2.410204,False,0,0,,,,,none,no_data,0,
Zogbo,COTONOU,9ème Arrondissement,X432606Y706656,6.392713,2.390599,False,8,3,6.389545,2.381497,1066.0,170.0,high,severe,6,pharmacie Zogbohoue | PASE C??? ZOGBOHE | Eglise du Christianisme Céleste Paroisse | Mosquée centrale et école coranique raod
Mifongou,COTONOU,5ème Arrondissement,X436448Y703436,6.363625,2.425367,False,0,0,,,,,none,no_data,0,
Gbégamey-Gbagoudo,COTONOU,11ème Arrondissement,X434727Y704302,6.371445,2.409802,False,0,0,,,,,none,no_data,0,
Agla-Petit-Château,COTONOU,13ème Arrondissement,X430632Y705454,6.381824,2.372759,False,0,0,,,,,none,no_data,0,
Midédji,COTONOU,10ème Arrondissement,X432788Y705929,6.386138,2.392249,False,0,0,,,,,none,no_data,0,
Houénoussou,COTONOU,13ème Arrondissement,X432679Y703778,6.366685,2.391291,False,1,1,6.377237,2.382849,1499.0,0.0,low,severe,1,Centre de Santé de Houenoussou
"Aïdégnon
",ABOMEY-CALAVI,Togba,X425499Y713070,6.450654,2.326256,False,0,0,,,,,none,no_data,0,
"Zounga
",ABOMEY-CALAVI,Godomey,X421757Y705359,6.380857,2.292517,False,0,0,,,,,none,no_data,0,
"Abikouholi
",ABOMEY-CALAVI,Godomey,X425279Y704532,6.373425,2.324371,False,0,0,,,,,none,no_data,0,
Togbin-Fandji,ABOMEY-CALAVI,Godomey,X425933Y702465,6.354732,2.330312,False,0,0,,,,,none,no_data,0,
Gbéto,COTONOU,5ème Arrondissement,X436444Y703050,6.360141,2.425343,False,6,4,6.366567,2.427939,770.0,2.0,medium,severe,2,Eglise Saint Michel Gbéto de Cotonou | Eglise Saint Michel Gbéto de Cotonou
Sèdomey,ABOMEY-CALAVI,Godomey,X427178Y707988,6.404703,2.341502,False,0,0,,,,,none,no_data,0,
Bozoun,ABOMEY-CALAVI,Kpanroun,X432878Y738864,6.684059,2.392703,False,0,0,,,,,none,no_data,0,
Agbondjèdo,COTONOU,8ème Arrondissement,X434682Y704701,6.375052,2.409389,False,0,0,,,,,none,no_data,0,
Fifadji-Houto (Jak),COTONOU,4ème Arrondissement,X440196Y703354,6.36292,2.459258,False,0,0,,,,,none,no_data,0,
Missogbé,COTONOU,10ème Arrondissement,X432713Y705372,6.381107,2.391582,False,0,0,,,,,none,no_data,0,
Agamandin,ABOMEY-CALAVI,Abomey-Calavi,X429167Y714002,6.459126,2.359418,False,1,1,6.45348,2.360717,644.0,0.0,low,suspicious,1,École Primaire Publique d' Agamandin
Aïdjèdo-Gbègo,COTONOU,6ème Arrondissement,X436713Y705535,6.382621,2.42775,False,0,0,,,,,none,no_data,0,
Jéricho-Nord,COTONOU,6ème Arrondissement,X436480Y704737,6.375399,2.425647,False,2,1,6.372281,2.425816,347.0,28.0,medium,suspicious,2,BIBE JERICHO | BIBE JERICHO
Misséssin,COTONOU,4ème Arrondissement,X438471Y704209,6.370645,2.443651,False,1,1,6.370939,2.447392,415.0,0.0,low,suspicious,1,Hopital Misséssin
Gbodjo,ABOMEY-CALAVI,Abomey-Calavi,X429235Y715041,6.468531,2.360021,False,2,1,6.471921,2.358862,398.0,126.0,medium,suspicious,2,Complexe scolaire Gbodjo | Saint Michel Archange de Gbodjo
Kindonou,COTONOU,9ème Arrondissement,X429692Y706605,6.392222,2.364254,False,3,1,6.393258,2.36441,116.0,147.0,medium,minor,3,Pharmacie Kindonou | Eglise du Christianisme Céleste de Kindo | Marché de Kindonou
"Yénandjro
",ABOMEY-CALAVI,Godomey,X424082Y708600,6.410203,2.313503,False,0,0,,,,,none,no_data,0,
"Houégoudo
",ABOMEY-CALAVI,Zinvié,X427275Y732986,6.630823,2.34209,False,0,0,,,,,none,no_data,0,
"Dénou
",ABOMEY-CALAVI,Godomey,X427096Y705330,6.380664,2.340791,False,0,0,,,,,none,no_data,0,
Djigbo,ABOMEY-CALAVI,Kpanroun,X430896Y739269,6.687702,2.374768,False,0,0,,,,,none,no_data,0,
Djédjé-Layé,COTONOU,2ème Arrondissement,X440208Y706177,6.388456,2.459343,False,0,0,,,,,none,no_data,0,
"Hêdomè
",ABOMEY-CALAVI,Godomey,X423458Y704703,6.374946,2.307905,False,1,1,6.371852,2.320222,1404.0,0.0,low,severe,1,Pharmacie Hedomey
Ahouassa,COTONOU,2ème Arrondissement,X440206Y705494,6.382286,2.45933,False,0,0,,,,,none,no_data,0,
Zinvié-Zounmè,ABOMEY-CALAVI,Zinvié,X427920Y732052,6.622386,2.347936,False,0,0,,,,,none,no_data,0,
Midombo,COTONOU,3ème Arrondissement,X438572Y704943,6.377283,2.44456,False,2,2,6.377412,2.441795,306.0,0.0,low,suspicious,1,Pharmacie Midombo
"Adjamè
",ABOMEY-CALAVI,Golo-Djigbé,X422288Y725428,6.562398,2.297066,False,0,0,,,,,none,no_data,0,
Ladji,COTONOU,6ème Arrondissement,X436758Y706500,6.39135,2.428146,False,5,2,6.390474,2.430154,242.0,158.0,high,minor,4,Eglise Paroisse St Raphaël Ladji Centre | Église protestante de ladji | Église catholique Saint-Christophe d’Ayi | École primaire publique de Ladji
Sènadé-Sèkon,COTONOU,2ème Arrondissement,X440230Y704765,6.375689,2.45955,False,0,0,,,,,none,no_data,0,
Avagbé,ABOMEY-CALAVI,Kpanroun,X431004Y737112,6.668193,2.37577,False,0,0,,,,,none,no_data,0,
