A,B,edges,total_length_m,A_share_m,B_share_m
Adjégounlè,Ayélawadjè,1,280.6,140.3,140.3
Ayélawadjè-Agongbomè,Kpondéhou,2,279.2,139.6,139.6
Abokicodji-Centre,Sodjatinmè-Ouest,1,264.2,132.1,132.1
Cadjèhoun-Détinsa,Gbégamey-Dodo-Ayidjè,3,258.6,129.3,129.3
Cadjèhoun-Agonga,Haie-Vive-Cocotiers,3,256.3,128.2,128.2
Dantôkpa,Misséssin,2,253.8,126.9,126.9
Gbégamey-Gbagoudo,Saint-Jean-Gbèdiga,2,253.3,126.6,126.6
Gankpodo,Minontchou,2,251.5,125.7,125.7
Agori,"Aïtchédji
",3,250.0,125.0,125.0
Irédé,Lom-Nava,1,247.5,123.8,123.8
Kowégbo,Suru-Léré,2,246.4,123.2,123.2
Ahossougbéta,Tokan,2,245.5,122.8,122.8
"Nonhouénou
","Sèdjannako
",1,240.9,120.4,120.4
Fifadji,Vossa-Kpodji,1,240.2,120.1,120.1
Togbin-Fandji,Togbin-Kpèvi,1,237.7,118.9,118.9
Agbatô,Hlacômey,1,230.2,115.1,115.1
Vossa,Vossa-Kpodji,2,229.1,114.6,114.6
"Dessato
",Ouèdo,6,228.7,114.3,114.3
Hlazounto,"Plateau
",4,228.4,114.2,114.2
Agassa-Godomey,Gbétagbo,5,221.5,110.8,110.8
Agla-Petit-Château,Kouhounou,4,218.3,109.2,109.2
Agbodjèdo,Hlacômey,3,216.5,108.3,108.3
Gankpodo,Yénawa,1,212.9,106.4,106.4
Gbégamey-Centre,Gbégamey-Mifongou,4,212.8,106.4,106.4
Cocotomey,"Sodo
",4,212.5,106.2,106.2
Godomey-N'Gbèho,Togbin-Fandji,2,212.2,106.1,106.1
Godomey-Togoudo,"Nonhouénou
",4,207.2,103.6,103.6
Guinkômey,Missité,3,204.3,102.1,102.1
Godomey-Togoudo,Salamey,2,202.2,101.1,101.1
Tankpè-Togoudo,"Yénandjro
",1,200.2,100.1,100.1
Kouhounou,Zogbohouè,2,198.7,99.3,99.3
Hindé-Nord,Hindé-Sud,1,195.1,97.5,97.5
Gbédokpo,Sèdjro-Saint-Michel,3,191.2,95.6,95.6
Agla-Agongbomey,Hlazounto,3,184.9,92.4,92.4
Gbégamey-Dodo-Ayidjè,Vodjè-Allobatin,1,184.5,92.2,92.2
Gbèdagba,Minonkpô-Wologuèdè,1,182.2,91.1,91.1
Cadjèhoun-Détinsa,Cadjèhoun-Kpota,1,182.1,91.0,91.0
Adjaha-Cité,Fidjrossè-Kpota,2,178.9,89.5,89.5
"Plateau
",Yolomahouto,4,177.5,88.8,88.8
Agori,"Tokpa-Zoungo-Sud
",2,177.3,88.6,88.6
Houénoussou,Houéyihô,3,173.0,86.5,86.5
Dandji,Tanto,2,167.9,84.0,84.0
Gbèdjèwin,Misséssin,3,164.7,82.4,82.4
Abokicodji-Centre,Misséssin,2,162.4,81.2,81.2
Gbégamey-Dodo-Ayidjè,Gbégamey-Mifongou,2,160.5,80.3,80.3
Yèvié-Nougo,Zinvié-Fandji,3,160.2,80.1,80.1
Kouhounou,Sètôvi,2,143.5,71.8,71.8
Agontinkon,Houénoussou-Sainte-Rita,2,143.1,71.5,71.5
Dandji,Yagbé,2,142.9,71.4,71.4
Gbégamey-Ahito,Gbégamey-Dodo-Ayidjè,2,142.8,71.4,71.4
Ahouassa,Suru-Léré,1,141.0,70.5,70.5
Agamandin,Sèmè,2,138.7,69.3,69.3
Atrokpo-Codji,"Dèkoungbé
",3,137.5,68.8,68.8
