nid,lat,lng,n_quartiers,name_a,dist_a_m,name_b,dist_b_m,others,asymmetry,road_context,primary_highway,n_road_edges,in_roundabout,has_bridge,has_dual_connector_edge,dist_to_water_m,classification
1279,6.364968,2.4215,4,Gbèdomidji,166.4,Gbènan,243.0,Yévèdo|Todoté,0.315,intersection,residential,4,False,False,False,,MULTI_QUARTIER
41518,6.365081,2.422823,2,Gbènan,201.7,Gbèdomidji,207.9,,0.029,intersection,residential,3,False,False,False,,PLAUSIBLE_FRONTIER
26827,6.393349,2.346743,3,Hlouacomey,109.2,"Nonhouénou
",169.6,Yolomahouto,0.356,intersection,residential,3,False,False,True,,MULTI_QUARTIER
36164,6.393531,2.346685,3,Hlouacomey,117.8,"Nonhouénou
",160.6,Yolomahouto,0.267,intersection,trunk,3,False,False,True,,MULTI_QUARTIER
36171,6.393661,2.346598,3,Hlouacomey,133.1,"Nonhouénou
",155.2,Yolomahouto,0.142,intersection,residential,3,False,False,True,,MULTI_QUARTIER
45115,6.360869,2.432612,2,Missité,158.7,Avlékété-Joncquet,251.9,,0.37,intersection,residential,3,False,False,True,,PLAUSIBLE_FRONTIER
12909,6.36435,2.384644,2,Gbèdégbé,150.8,Aïbatin-Dodo,264.9,,0.431,intersection,residential,3,False,False,False,,PLAUSIBLE_FRONTIER
65869,6.368189,2.430065,2,Sèdjro-Saint-Michel,170.6,Nouveau-Pont,260.4,,0.345,road_segment,residential,2,False,False,False,,PLAUSIBLE_FRONTIER
1254,6.362888,2.430809,2,Missité,156.0,Gbédokpo,159.0,,0.019,intersection,residential,4,False,False,False,,PLAUSIBLE_FRONTIER
4578,6.37885,2.423003,2,Aïdjèdo-Ahito,263.8,Aïdjèdo,279.6,,0.057,intersection,residential,4,False,False,False,,PLAUSIBLE_FRONTIER
3616,6.390449,2.347467,2,Yolomahouto,106.6,Hlouacomey,291.9,,0.635,intersection,residential,3,False,False,False,,SUSPICIOUS_OVERREACH
69357,6.390578,2.347228,2,Yolomahouto,111.7,Hlouacomey,247.8,,0.549,road_segment,residential,2,False,False,False,,SUSPICIOUS_OVERREACH
5837,6.367445,2.446033,2,Abokicodji-Centre,158.9,Gbèdjèwin,210.0,,0.243,intersection,residential,4,False,False,False,,PLAUSIBLE_FRONTIER
1430,6.369672,2.430867,3,Nouveau-Pont,157.1,Dantôkpa,238.9,Jéricho-Sud,0.342,intersection,primary,6,False,False,False,,MULTI_QUARTIER
11842,6.370346,2.452926,2,Fifatin,162.1,Sodjatinmè-Centre,278.8,,0.419,intersection,primary,4,False,False,False,,PLAUSIBLE_FRONTIER
6092,6.386613,2.439963,2,Adôgléta,160.0,Hlacômey,290.3,,0.449,intersection,residential,4,False,False,False,419.8,PLAUSIBLE_FRONTIER
6010,6.387249,2.440714,2,Adôgléta,157.3,Hlacômey,160.4,,0.02,intersection,residential,3,False,False,False,504.7,PLAUSIBLE_FRONTIER
33306,6.393037,2.343424,2,Salamey,176.8,"Nonhouénou
",260.6,,0.321,intersection,residential,3,False,False,False,,PLAUSIBLE_FRONTIER
520,6.363789,2.410615,2,Gbégamey-Centre,149.3,Gbégamey-Ahito,298.2,,0.499,intersection,residential,3,False,False,False,,PLAUSIBLE_FRONTIER
12910,6.363419,2.384168,2,Aïbatin-Dodo,148.8,Gbèdégbé,266.9,,0.443,intersection,residential,3,False,False,False,,PLAUSIBLE_FRONTIER
48057,6.381623,2.457909,2,Ahouassa,233.8,Sènadé,274.4,,0.148,intersection,residential,3,False,False,False,,PLAUSIBLE_FRONTIER
4857,6.383976,2.426623,2,Aïdjèdo-Gbègo,196.4,Ahouansouri-Agata,289.2,,0.321,intersection,residential,4,False,False,False,,PLAUSIBLE_FRONTIER
10772,6.366002,2.387038,2,Gbèdégbé,158.9,Missité,189.0,,0.159,intersection,residential,3,False,False,False,,PLAUSIBLE_FRONTIER
2266,6.367482,2.403571,2,Cadjèhoun-Détinsa,124.2,Vodjè-Centre,176.7,,0.297,road_segment,residential,2,False,False,False,,PLAUSIBLE_FRONTIER
3624,6.390264,2.342467,2,"Aïmèvo
",132.8,Salamey,193.6,,0.314,intersection,secondary,3,False,False,False,,PLAUSIBLE_FRONTIER
72026,6.389784,2.341877,2,"Aïmèvo
",145.1,Salamey,291.8,,0.503,road_segment,residential,2,False,False,False,,SUSPICIOUS_OVERREACH
2088,6.369533,2.410209,2,Gbégamey-Gbagoudo,210.3,Dagbédji-Sikê,281.7,,0.253,road_segment,residential,2,False,False,False,,PLAUSIBLE_FRONTIER
313,6.356548,2.399562,2,Cadjèhoun-Azalokogon,118.2,Haie-Vive-Cocotiers,295.0,,0.599,intersection,primary,5,False,False,False,,SUSPICIOUS_OVERREACH
47959,6.365116,2.446477,2,Abokicodji-Centre,139.0,Ohé,172.3,,0.194,intersection,residential,3,False,False,False,,PLAUSIBLE_FRONTIER
5011,6.36769,2.393138,2,Houéyihô,121.7,Houénoussou,231.9,,0.475,intersection,residential,3,False,False,False,,PLAUSIBLE_FRONTIER
5834,6.362699,2.445881,2,Ohé,119.5,Akpakpa-Dodomè,259.7,,0.54,road_segment,service,2,False,False,False,,SUSPICIOUS_OVERREACH
5835,6.362743,2.445472,2,Ohé,122.9,Akpakpa-Dodomè,263.1,,0.533,intersection,service,3,False,False,False,517.7,SUSPICIOUS_OVERREACH
338,6.371287,2.412485,2,Gbégamey-Gbagoudo,190.9,Dagbédji-Sikê,296.7,,0.356,intersection,primary,3,False,False,True,,PLAUSIBLE_FRONTIER
32194,6.391135,2.342973,2,Salamey,157.1,"Aïmèvo
",291.8,,0.462,intersection,residential,3,False,False,False,,PLAUSIBLE_FRONTIER
5925,6.375839,2.443296,2,Adjégounlè,232.4,Midombo,283.5,,0.18,intersection,residential,4,False,False,False,720.9,PLAUSIBLE_FRONTIER
2222,6.370679,2.418417,2,Énagnon-Sikê,193.7,Sèhogan-Sikê,226.3,,0.144,intersection,primary,4,False,False,False,,PLAUSIBLE_FRONTIER
3474,6.391726,2.348555,2,Hlouacomey,185.8,Yolomahouto,259.7,,0.285,intersection,residential,3,False,False,False,,PLAUSIBLE_FRONTIER
3548,6.392132,2.347955,2,Hlouacomey,123.1,Yolomahouto,245.9,,0.5,road_segment,residential,2,False,False,False,,PLAUSIBLE_FRONTIER
4917,6.378445,2.433232,2,Hindé-Nord,152.9,Djidjè,242.4,,0.369,intersection,residential,4,False,False,False,,PLAUSIBLE_FRONTIER
4670,6.376695,2.43004,2,Aïdjèdo-Vignon,186.2,Hindé-Nord,190.3,,0.022,bridge,residential,4,False,True,False,,ROAD_GRAPH_ARTIFACT
26217,6.392786,2.44905,2,Minontchou,136.6,Agbodjèdo,247.7,,0.448,intersection,residential,3,False,False,False,1456.9,PLAUSIBLE_FRONTIER
6167,6.393089,2.448586,2,Minontchou,148.5,Agbodjèdo,159.4,,0.069,intersection,residential,4,False,False,False,1408.9,PLAUSIBLE_FRONTIER
9871,6.363523,2.384886,2,Aïbatin-Dodo,257.6,Gbèdégbé,287.8,,0.105,intersection,residential,4,False,False,False,,PLAUSIBLE_FRONTIER
3454,6.391933,2.346876,2,Yolomahouto,134.6,Hlouacomey,175.6,,0.234,road_segment,tertiary,2,False,False,False,,PLAUSIBLE_FRONTIER
