lat,lng,offender,off_arr,off_dist_m,off_snap_m,off_snap_edges,off_comp_size,off_path_len,off_used_dual,off_used_roundabout,victim,vic_arr,vic_dist_m,vic_snap_m,vic_snap_edges,vic_comp_size,vic_near_ways,vic_dist_water_m,asymmetry,causes
6.381581,2.424519,Aïdjèdo,6ème Arrondissement,222.3,7.5,4,90099,3,False,False,Ahouansouri-Agata,6ème Arrondissement,103.2,7.0,5,90099,34,,0.536,unattributed
6.384934,2.453551,Kpondéhou-Tchèmè,2ème Arrondissement,279.4,9.5,4,90099,4,False,False,Kpondéhou,2ème Arrondissement,102.6,8.7,4,90099,20,1980.4,0.633,unattributed
6.367913,2.393593,Houénoussou,13ème Arrondissement,288.0,5.3,6,90099,9,True,False,Houéyihô,11ème Arrondissement,65.5,2.0,4,90099,40,,0.772,dual_carriageway_shortcut
6.386592,2.440635,Hlacômey,3ème Arrondissement,229.5,5.2,4,90099,4,False,False,Adôgléta,3ème Arrondissement,88.2,11.0,4,90099,37,464.8,0.616,unattributed
6.368906,2.402659,Cadjèhoun-Détinsa,12ème Arrondissement,272.6,4.4,5,90099,14,True,False,Vodjè-Centre,11ème Arrondissement,61.9,1.2,2,90099,28,,0.773,stronger_road_density|graph_artifact_low_edges|dual_carriageway_shortcut
6.368969,2.402521,Cadjèhoun-Détinsa,12ème Arrondissement,289.4,4.4,5,90099,15,True,False,Vodjè-Centre,11ème Arrondissement,78.6,1.2,2,90099,28,,0.728,stronger_road_density|graph_artifact_low_edges|dual_carriageway_shortcut
6.368734,2.402589,Cadjèhoun-Détinsa,12ème Arrondissement,267.3,4.4,5,90099,13,True,False,Vodjè-Centre,11ème Arrondissement,68.8,1.2,2,90099,28,,0.743,stronger_road_density|graph_artifact_low_edges|dual_carriageway_shortcut
6.357152,2.4361,Tokpa-Hoho,5ème Arrondissement,296.8,9.5,5,90099,11,True,False,Guinkômey,5ème Arrondissement,85.2,33.0,3,90099,76,749.7,0.713,dual_carriageway_shortcut|centroid_badly_positioned
6.39313,2.449039,Agbodjèdo,3ème Arrondissement,209.5,6.6,4,90099,4,False,False,Minontchou,2ème Arrondissement,98.4,6.1,3,90099,32,1590.0,0.53,unattributed
6.391202,2.342422,"Aïmèvo
",Godomey,230.5,12.5,3,90099,3,False,False,Salamey,Godomey,95.9,11.0,2,90099,45,498.4,0.584,graph_artifact_low_edges
6.391699,2.342664,"Aïmèvo
",Godomey,299.9,12.5,3,90099,5,False,False,Salamey,Godomey,64.3,11.0,2,90099,45,498.4,0.786,graph_artifact_low_edges
6.358206,2.438748,Guinkômey,5ème Arrondissement,184.6,33.0,3,90099,6,True,False,Tokpa-Hoho,5ème Arrondissement,77.0,9.5,5,90099,45,269.4,0.583,dual_carriageway_shortcut|centroid_badly_positioned
6.368807,2.442633,Misséssin,4ème Arrondissement,226.7,24.5,4,90099,3,False,False,Dédokpo,4ème Arrondissement,111.5,17.8,4,90099,23,435.0,0.508,unattributed
6.394672,2.345923,Hlouacomey,Godomey,277.5,6.1,5,90099,11,True,False,"Nonhouénou
",Godomey,108.5,0.6,8,90099,45,343.1,0.609,dual_carriageway_shortcut
6.356377,2.436948,Tokpa-Hoho,5ème Arrondissement,277.0,9.5,5,90099,11,True,False,Guinkômey,5ème Arrondissement,79.5,33.0,3,90099,76,749.7,0.713,dual_carriageway_shortcut|centroid_badly_positioned
6.366741,2.44221,Abokicodji-Lagune,4ème Arrondissement,231.9,27.9,6,90099,5,False,False,Dédokpo,4ème Arrondissement,107.4,17.8,4,90099,23,435.0,0.537,unattributed
6.362519,2.445655,Akpakpa-Dodomè,4ème Arrondissement,231.0,10.4,2,90099,3,True,False,Ohé,4ème Arrondissement,90.9,21.0,3,90099,48,639.8,0.607,dual_carriageway_shortcut
6.381112,2.390562,Sètôvi,10ème Arrondissement,240.4,2.2,4,90099,2,False,False,Missogbé,10ème Arrondissement,72.9,5.4,4,90099,37,328.6,0.697,unattributed
6.361341,2.444379,Ohé,4ème Arrondissement,271.2,21.0,3,90099,5,False,False,Akpakpa-Dodomè,4ème Arrondissement,80.8,10.4,2,90099,37,337.1,0.702,graph_artifact_low_edges
6.361589,2.444489,Ohé,4ème Arrondissement,256.2,21.0,3,90099,5,False,False,Akpakpa-Dodomè,4ème Arrondissement,73.4,10.4,2,90099,37,337.1,0.713,graph_artifact_low_edges
6.358597,2.396809,Cadjèhoun-Azalokogon,12ème Arrondissement,294.6,16.0,4,90099,4,False,False,Cadjèhoun-Agonga,12ème Arrondissement,112.2,2.6,4,90099,34,,0.619,unattributed
6.367392,2.392055,Houéyihô,11ème Arrondissement,246.2,2.0,4,90099,11,True,False,Houénoussou,13ème Arrondissement,107.2,5.3,6,90099,36,,0.565,dual_carriageway_shortcut
6.36169,2.446707,Akpakpa-Dodomè,4ème Arrondissement,267.0,10.4,2,90099,6,True,False,Ohé,4ème Arrondissement,73.1,21.0,3,90099,48,639.8,0.726,dual_carriageway_shortcut
6.362832,2.447199,Akpakpa-Dodomè,4ème Arrondissement,277.4,10.4,2,90099,7,True,False,Ohé,4ème Arrondissement,83.5,21.0,3,90099,48,639.8,0.699,dual_carriageway_shortcut
6.373072,2.442342,Misséssin,4ème Arrondissement,292.6,24.5,4,90099,5,False,False,Gbénonkpô,3ème Arrondissement,115.5,11.2,7,90099,27,570.5,0.605,unattributed
6.368818,2.402421,Cadjèhoun-Détinsa,12ème Arrondissement,288.0,4.4,5,90099,14,True,False,Vodjè-Centre,11ème Arrondissement,89.5,1.2,2,90099,28,,0.689,stronger_road_density|graph_artifact_low_edges|dual_carriageway_shortcut
6.392258,2.452574,Minontchou,2ème Arrondissement,257.6,6.1,3,90099,5,False,False,Gankpodo,2ème Arrondissement,119.0,16.7,4,90099,30,1948.2,0.538,unattributed
6.377859,2.421749,Gbèdjromèdè,6ème Arrondissement,268.2,2.4,7,90099,6,False,False,Aïdjèdo-Ahito,6ème Arrondissement,86.7,3.5,5,90099,29,,0.677,unattributed
6.372674,2.408313,Agbondjèdo,8ème Arrondissement,271.4,11.5,4,90099,5,False,False,Gbégamey-Gbagoudo,11ème Arrondissement,131.7,13.6,11,90099,39,,0.515,unattributed
6.367823,2.393383,Houénoussou,13ème Arrondissement,262.8,5.3,6,90099,8,True,False,Houéyihô,11ème Arrondissement,90.8,2.0,4,90099,40,,0.654,dual_carriageway_shortcut
