quartier,commune,confidence,area_m2,perimeter_m,road_length_m,n_road_vertices,compactness,n_neighbours,low_confidence_reasons
Gbèdégbé,COTONOU,HIGH,216616.3,2865.5,4264.8,108,0.332,2,
Kpaviédja,ABOMEY-CALAVI,LOW,584070.2,13213.0,11231.7,164,0.042,0,sliver shape (compactness 0.042)
Sèhogan-Sikê,COTONOU,HIGH,106646.9,2416.4,1621.1,36,0.23,1,
Yolomahouto,ABOMEY-CALAVI,HIGH,200457.9,2985.6,3029.2,198,0.283,1,
Espace-Saint,ABOMEY-CALAVI,HIGH,290572.6,7146.9,3218.0,234,0.071,0,
Kpé,ABOMEY-CALAVI,LOW,1205588.3,25304.2,14583.7,450,0.024,0,sliver shape (compactness 0.024)
Zogbohouè,COTONOU,HIGH,682873.2,6604.7,10568.8,362,0.197,0,
Ahouansori-Towéta-Kpota,COTONOU,HIGH,170526.2,2398.0,3302.4,108,0.373,0,
Mifongou,COTONOU,HIGH,118116.9,2002.6,1958.9,46,0.37,0,
Ouèdo,ABOMEY-CALAVI,LOW,2324965.8,38263.5,29421.0,1704,0.02,0,sliver shape (compactness 0.020)
Finagnon,COTONOU,HIGH,532094.8,6333.4,8766.8,230,0.167,0,
Domey-Gbo,ABOMEY-CALAVI,LOW,1898345.8,34760.0,26838.7,1552,0.02,0,sliver shape (compactness 0.020)
Godomey-N'Gbèho,ABOMEY-CALAVI,HIGH,1509458.3,14996.6,30889.7,954,0.084,0,
Zinvié-Agolèdji,ABOMEY-CALAVI,LOW,689729.0,15227.2,7882.4,276,0.037,0,sliver shape (compactness 0.037)
Abokicodji-Lagune,COTONOU,HIGH,120916.3,2531.7,1981.2,42,0.237,0,
Jéricho-Nord,COTONOU,HIGH,146379.0,2627.1,2070.6,48,0.267,0,
Adjagbo-Aïdjèdo,ABOMEY-CALAVI,LOW,1844984.2,32696.2,22086.5,980,0.022,0,sliver shape (compactness 0.022)
Gbodjoko,ABOMEY-CALAVI,LOW,530049.3,11608.1,6250.7,300,0.049,0,sliver shape (compactness 0.049)
"Tchinangbégbo
",ABOMEY-CALAVI,HIGH,1282276.4,11833.6,19277.1,628,0.115,0,
Ahouanlèko,COTONOU,HIGH,982210.1,15420.7,21385.4,618,0.052,1,
Hlazounto,COTONOU,HIGH,143918.8,3263.3,14778.1,460,0.17,0,
Yénawa-Daho,COTONOU,HIGH,367355.2,4472.7,5708.3,154,0.231,0,
"Dèkoungbé
",ABOMEY-CALAVI,HIGH,639873.8,7408.1,10701.3,332,0.147,0,
"Fifonsi
",ABOMEY-CALAVI,HIGH,1589652.2,14983.6,24601.5,934,0.089,0,
Tankpê-Yoho,ABOMEY-CALAVI,HIGH,1219496.0,9935.9,18332.7,896,0.155,0,
Womey-Yénawa,ABOMEY-CALAVI,HIGH,1591298.7,16149.2,23196.4,1148,0.077,0,
Hadjanaho,ABOMEY-CALAVI,HIGH,417814.4,9373.2,5457.4,172,0.06,0,
Guinkômey,COTONOU,HIGH,184574.6,2326.7,2651.6,88,0.428,0,
"Maria-Gléta
",ABOMEY-CALAVI,LOW,1978669.6,24759.4,29608.4,1374,0.041,0,sliver shape (compactness 0.041)
Adjogansa,ABOMEY-CALAVI,LOW,873760.6,19068.6,9413.6,550,0.03,0,sliver shape (compactness 0.030)
Avagbé,ABOMEY-CALAVI,LOW,1050794.2,23263.7,20222.0,1060,0.024,0,sliver shape (compactness 0.024)
Sogan,ABOMEY-CALAVI,HIGH,1625191.0,17305.7,23674.5,1226,0.068,0,
Houinmè-Daho,ABOMEY-CALAVI,LOW,2417432.0,36151.0,29826.5,1556,0.023,0,sliver shape (compactness 0.023)
Gbétagbo,ABOMEY-CALAVI,LOW,1645436.1,23496.3,22703.8,1162,0.037,0,sliver shape (compactness 0.037)
Cococodji,ABOMEY-CALAVI,LOW,5037697.1,56508.4,170259.1,5968,0.02,0,sliver shape (compactness 0.020)
Kolètin,ABOMEY-CALAVI,LOW,1093251.6,21208.3,13850.8,728,0.031,0,sliver shape (compactness 0.031)
Anagbo,ABOMEY-CALAVI,HIGH,502737.2,11205.6,13711.0,394,0.05,0,
"Aïdégnon
",ABOMEY-CALAVI,HIGH,1404017.6,11101.5,22181.9,910,0.143,0,
"Alédjo
",ABOMEY-CALAVI,HIGH,1158242.0,9252.3,19206.1,664,0.17,0,
Ahouansouri-Agata,COTONOU,HIGH,172912.9,3336.8,3429.0,124,0.195,0,
Sèdomey,ABOMEY-CALAVI,HIGH,508059.1,8419.0,8076.0,284,0.09,0,
Fidjrossè-Kpota,COTONOU,HIGH,84774.4,2318.1,20037.9,636,0.198,0,
"Dénou
",ABOMEY-CALAVI,HIGH,660262.7,6893.1,15071.7,528,0.175,0,
Zongo-Nima,COTONOU,HIGH,293394.7,5268.7,6082.6,180,0.133,0,
Djèkpota,ABOMEY-CALAVI,LOW,3195114.7,46254.8,78598.1,3572,0.019,0,sliver shape (compactness 0.019)
Houèkè-Gbo,ABOMEY-CALAVI,HIGH,1004092.4,13023.5,16084.6,682,0.074,0,
Xwlacôdji-Plage,COTONOU,HIGH,101850.8,1740.2,1315.4,48,0.423,0,
Houénoussou-Sainte-Rita,COTONOU,HIGH,181415.0,3011.6,3141.5,74,0.251,0,
Aïbatin-Kpota,COTONOU,HIGH,164588.0,2327.6,2416.9,80,0.382,2,
Aïdjèdo,COTONOU,HIGH,107150.9,1874.1,1533.4,34,0.383,0,
