qa,qb,name_a,arr_a,name_b,arr_b,n_collisions,shape,extent_m,az_deg,centroid_lat,centroid_lng,median_d_a_m,median_d_b_m,asymmetry_median,highway_types,density_per_100m
32,97,Todoté,7ème Arrondissement,Gbènan,7ème Arrondissement,1,point,0.0,,6.364968,2.4215,285.5,243.0,0.149,residential|secondary,
5,32,Yévèdo,7ème Arrondissement,Todoté,7ème Arrondissement,1,point,0.0,,6.364968,2.4215,272.1,285.5,0.047,residential|secondary,
5,32,Yévèdo,7ème Arrondissement,Todoté,7ème Arrondissement,1,point,0.0,,6.365039,2.420095,284.5,268.3,0.057,residential,
229,292,Aïbatin-Dodo,12ème Arrondissement,Gbèdégbé,13ème Arrondissement,2,linear_corridor,52.1,102.3,6.364401,2.384413,275.2,176.8,0.358,residential|secondary,3.84
229,292,Aïbatin-Dodo,12ème Arrondissement,Gbèdégbé,13ème Arrondissement,3,intersection,54.4,55.5,6.363576,2.384144,180.0,266.9,0.326,residential|secondary,5.51
229,292,Aïbatin-Dodo,12ème Arrondissement,Gbèdégbé,13ème Arrondissement,1,point,0.0,,6.363523,2.384886,257.6,287.8,0.105,residential,
229,292,Aïbatin-Dodo,12ème Arrondissement,Gbèdégbé,13ème Arrondissement,1,point,0.0,,6.364141,2.383693,282.0,291.0,0.031,residential,
89,266,Sodjatinmè-Centre,4ème Arrondissement,Fifatin,3ème Arrondissement,1,point,0.0,,6.370346,2.452926,278.8,162.1,0.419,primary|residential,
89,266,Sodjatinmè-Centre,4ème Arrondissement,Fifatin,3ème Arrondissement,3,intersection,47.4,54.7,6.369965,2.453502,229.3,253.1,0.094,primary|residential|tertiary,6.33
195,248,Salamey,Godomey,"Nonhouénou
",Godomey,11,linear_corridor,214.2,160.2,6.393036,2.343901,230.8,239.3,0.035,residential|secondary,5.13
121,181,Sènadé,2ème Arrondissement,Ahouassa,2ème Arrondissement,1,point,0.0,,6.381623,2.457909,274.4,233.8,0.148,residential,
121,181,Sènadé,2ème Arrondissement,Ahouassa,2ème Arrondissement,1,point,0.0,,6.380345,2.459214,287.6,231.4,0.195,residential|tertiary,
121,181,Sènadé,2ème Arrondissement,Ahouassa,2ème Arrondissement,2,intersection,15.6,-177.9,6.382337,2.457262,281.8,236.1,0.162,residential|tertiary,12.85
121,181,Sènadé,2ème Arrondissement,Ahouassa,2ème Arrondissement,1,point,0.0,,6.379703,2.459395,236.0,284.1,0.169,residential|tertiary,
148,219,Dandji,1er Arrondissement,Finagnon,1er Arrondissement,1,point,0.0,,6.365624,2.478457,268.7,265.7,0.011,residential,
148,219,Dandji,1er Arrondissement,Finagnon,1er Arrondissement,2,intersection,17.1,174.5,6.366604,2.476888,265.9,227.6,0.144,residential|unclassified,11.7
17,151,Akpakpa-Dodomè,4ème Arrondissement,Abokicodji-Lagune,4ème Arrondissement,2,linear_corridor,57.7,57.6,6.362459,2.443449,244.4,239.0,0.022,secondary|service,3.46
210,229,Aïbatin-Kpota,13ème Arrondissement,Aïbatin-Dodo,12ème Arrondissement,1,point,0.0,,6.361741,2.380751,242.0,293.5,0.176,residential,
210,229,Aïbatin-Kpota,13ème Arrondissement,Aïbatin-Dodo,12ème Arrondissement,5,intersection,98.9,81.0,6.363732,2.383476,233.6,248.7,0.061,residential,5.06
157,168,Midédji,10ème Arrondissement,Missogbé,10ème Arrondissement,3,linear_corridor,84.8,-155.1,6.38384,2.391734,268.1,249.6,0.069,residential|tertiary,3.54
34,61,Missité-Sikê,7ème Arrondissement,Fignon-Sikê,7ème Arrondissement,1,point,0.0,,6.375469,2.418726,271.5,192.7,0.29,residential,
34,61,Missité-Sikê,7ème Arrondissement,Fignon-Sikê,7ème Arrondissement,1,point,0.0,,6.375931,2.418358,206.1,258.2,0.202,residential,
37,62,Vodjè-Finagnon,11ème Arrondissement,Vodjè-Centre,11ème Arrondissement,2,intersection,15.2,51.7,6.370605,2.401836,193.6,267.7,0.277,residential,13.17
37,62,Vodjè-Finagnon,11ème Arrondissement,Vodjè-Centre,11ème Arrondissement,2,intersection,15.1,52.1,6.370135,2.402199,259.4,201.9,0.222,residential,13.27
