name,commune,arr,lat,lng,snap_m,snap_node_n_edges,component_size,near_ways,visited_ways,missed_ways,coverage_pct,kdtree_delta_vis,nearby_roundabouts,nearby_oneway_ways,used_dual_connector,classification
Houèkè-Honou,ABOMEY-CALAVI,Akassato,6.499733,2.354828,0.5,4,90087,5,7,0,140.0,0,0,0,False,GOOD
Fignon-Sikê,COTONOU,7ème Arrondissement,6.374118,2.4198,1.3,6,90087,7,13,0,185.7,1,0,0,False,GOOD
Vodjè-Centre,COTONOU,11ème Arrondissement,6.368644,2.403151,1.2,6,90087,11,14,0,127.3,8,0,6,True,GOOD
Xwlacôdji-Kpodji,COTONOU,5ème Arrondissement,6.353551,2.437618,6.5,4,90087,6,6,1,100.0,0,0,4,False,GOOD
Gbodjètin,COTONOU,12ème Arrondissement,6.374758,2.350493,19.9,6,90087,8,8,1,100.0,-1,0,2,False,GOOD
Houénoussou-Sainte-Rita,COTONOU,8ème Arrondissement,6.378984,2.403643,1.1,4,90087,11,6,5,54.5,0,0,0,False,PARTIAL
Missèkplé,COTONOU,10ème Arrondissement,6.386201,2.404705,4.0,4,90087,7,8,0,114.3,0,0,0,False,GOOD
Sètôvi,COTONOU,10ème Arrondissement,6.381389,2.388391,2.2,4,90087,9,9,0,100.0,0,0,0,False,GOOD
Kpondéhou,COTONOU,2ème Arrondissement,6.385806,2.4535,8.7,4,90087,6,6,1,100.0,0,0,0,False,GOOD
Sokan,ABOMEY-CALAVI,Zinvié,6.602299,2.35171,9.5,5,90087,7,8,0,114.3,1,0,0,False,GOOD
"Aïtchédji
",ABOMEY-CALAVI,Abomey-Calavi,6.453064,2.337776,4.2,5,90087,8,7,1,87.5,0,0,2,False,GOOD
Cadjèhoun-Détinsa,COTONOU,12ème Arrondissement,6.367157,2.404373,4.4,5,90087,11,13,0,118.2,1,0,9,False,GOOD
Ahouansouri-Agué,COTONOU,6ème Arrondissement,6.388161,2.421157,10.2,2,90087,13,9,6,69.2,-3,0,9,False,PARTIAL
"Gbodjè-Womey
",ABOMEY-CALAVI,Godomey,6.386949,2.284048,10.0,3,90087,5,5,1,100.0,0,0,4,False,GOOD
Houèto,ABOMEY-CALAVI,Togba,6.440538,2.303695,11.3,5,90087,8,8,0,100.0,0,0,0,False,GOOD
"Finafa
",ABOMEY-CALAVI,Abomey-Calavi,6.44162,2.347095,4.6,3,90087,10,8,2,80.0,0,0,1,False,PARTIAL
Vossa-Kpodji,COTONOU,9ème Arrondissement,6.395427,2.405403,5.2,2,90087,3,5,0,166.7,2,0,0,False,OSM_DATA_LIMIT
Alègléta,ABOMEY-CALAVI,Godomey,6.417671,2.319668,6.0,4,90087,12,11,2,91.7,1,0,0,False,PARTIAL
Yèmicodji,COTONOU,12ème Arrondissement,6.360712,2.333323,11.8,4,90087,6,9,1,150.0,3,0,0,False,GOOD
Dangbodji,ABOMEY-CALAVI,Zinvié,6.617268,2.319582,2.0,4,90087,3,3,0,100.0,0,0,0,False,OSM_DATA_LIMIT
Vodjè-Ayidoté,COTONOU,11ème Arrondissement,6.37393,2.403177,7.0,4,90087,7,5,2,71.4,2,0,2,False,PARTIAL
