name,commune,arr,lat,lng,snap_m,snap_node_n_edges,component_size,near_ways,visited_ways,missed_ways,coverage_pct,kdtree_delta_vis,nearby_roundabouts,nearby_oneway_ways,used_dual_connector,classification
Houèkè-Honou,ABOMEY-CALAVI,Akassato,6.499733,2.354828,0.5,4,90099,60,38,22,63.3,0,0,0,False,PARTIAL
Fignon-Sikê,COTONOU,7ème Arrondissement,6.374118,2.4198,1.3,6,90099,51,45,9,88.2,9,0,0,True,PARTIAL
Vodjè-Centre,COTONOU,11ème Arrondissement,6.368644,2.403151,1.2,6,90099,55,50,7,90.9,7,0,6,True,PARTIAL
Xwlacôdji-Kpodji,COTONOU,5ème Arrondissement,6.353551,2.437618,6.5,4,90099,100,78,27,78.0,3,0,4,True,PARTIAL
Gbodjètin,COTONOU,12ème Arrondissement,6.374758,2.350493,19.9,6,90099,98,59,40,60.2,2,0,2,False,PARTIAL
Houénoussou-Sainte-Rita,COTONOU,8ème Arrondissement,6.378984,2.403643,1.1,4,90099,69,34,35,49.3,2,0,0,False,PARTIAL
Missèkplé,COTONOU,10ème Arrondissement,6.386201,2.404705,4.0,4,90099,58,48,16,82.8,9,0,0,True,PARTIAL
Sètôvi,COTONOU,10ème Arrondissement,6.381389,2.388391,2.2,4,90099,103,76,34,73.8,10,0,0,True,PARTIAL
Kpondéhou,COTONOU,2ème Arrondissement,6.385806,2.4535,8.7,4,90099,57,38,21,66.7,-3,0,0,False,PARTIAL
Sokan,ABOMEY-CALAVI,Zinvié,6.602299,2.35171,9.5,5,90099,36,32,6,88.9,7,0,0,False,PARTIAL
"Aïtchédji
",ABOMEY-CALAVI,Abomey-Calavi,6.453064,2.337776,4.2,5,90099,99,81,19,81.8,10,0,2,False,PARTIAL
Cadjèhoun-Détinsa,COTONOU,12ème Arrondissement,6.367157,2.404373,4.4,5,90099,56,59,1,105.4,5,0,9,True,GOOD
Ahouansouri-Agué,COTONOU,6ème Arrondissement,6.388161,2.421157,10.2,2,90099,55,42,16,76.4,4,0,9,False,PARTIAL
"Gbodjè-Womey
",ABOMEY-CALAVI,Godomey,6.386949,2.284048,10.0,3,90099,131,69,62,52.7,5,0,4,True,PARTIAL
Houèto,ABOMEY-CALAVI,Togba,6.440538,2.303695,11.3,5,90099,77,71,8,92.2,8,0,0,False,PARTIAL
"Finafa
",ABOMEY-CALAVI,Abomey-Calavi,6.44162,2.347095,4.6,3,90099,95,71,28,74.7,10,0,1,True,PARTIAL
Vossa-Kpodji,COTONOU,9ème Arrondissement,6.395427,2.405403,5.2,2,90099,26,10,16,38.5,0,0,0,False,BROKEN
Alègléta,ABOMEY-CALAVI,Godomey,6.417671,2.319668,6.0,4,90099,127,109,21,85.8,12,0,0,False,PARTIAL
Yèmicodji,COTONOU,12ème Arrondissement,6.360712,2.333323,11.8,4,90099,61,59,4,96.7,5,0,0,False,PARTIAL
Dangbodji,ABOMEY-CALAVI,Zinvié,6.617268,2.319582,2.0,4,90099,6,5,1,83.3,0,0,0,False,GOOD
Vodjè-Ayidoté,COTONOU,11ème Arrondissement,6.37393,2.403177,7.0,4,90099,67,46,24,68.7,11,0,2,False,PARTIAL
Godomey-Togoudo,ABOMEY-CALAVI,Godomey,6.401429,2.341327,4.6,3,90099,66,55,12,83.3,7,0,4,True,PARTIAL
Yèvié,ABOMEY-CALAVI,Zinvié,6.597264,2.374925,11.1,2,90099,21,23,0,109.5,4,0,0,False,GOOD
Wawata,ABOMEY-CALAVI,Zinvié,6.62534,2.322947,5.3,3,90099,46,35,12,76.1,15,0,0,False,PARTIAL
Agonmé,ABOMEY-CALAVI,Akassato,6.550911,2.338356,1.6,3,90099,41,43,3,104.9,13,0,0,False,PARTIAL
Kolètin,ABOMEY-CALAVI,Akassato,6.570911,2.353408,14.0,4,90099,31,27,6,87.1,4,0,0,False,PARTIAL
Togbin-Daho,ABOMEY-CALAVI,Godomey,6.354858,2.307201,6.5,3,90099,24,16,8,66.7,-3,0,0,False,PARTIAL
Kpotomey,ABOMEY-CALAVI,Zinvié,6.629979,2.35663,13.5,4,90099,19,18,2,94.7,1,0,0,False,PARTIAL
